Lugar,Localizacao,Nome,Nota,Data_avaliacao,Avaliacao
Teatro Municipal de São Paulo,"Praça Ramos de Azevedo, s/n - República, São Paulo - SP",Monica Felix,4,05/2024,"Foi assistir a opera Carmen, foi inesquecível, recomendo a todos esta experiência.
Alguns pontos poderiam ter melhorado a minha experiência se eu soubesse antes.
Assento: Fiquei no balcão superior, e achei o espaço de acomodação muito apertado.  Para uma pessoa grande, recomendo a plateia ou algum assento mais nobre.
Comidas e bebidas: Tem um restaurante e um quiosque com salgados e bebidas, pode aproveitar antes do espetáculo para comer lá, nao pode entrar com comidas e bebidas. A Agua vem em lata e custa 7,00, se puderem leve de casa e descarte a embalagem antes do espetaculo.
Opera: Na entrada vende um livro onde narra os atos ( 35,00). Comprei na entrada, mas não me liguei que não  conseguiria acompanhar no espetáculo, portanto eu deveria ter lido rapidamente antes de entrar, para ter noção do desenrolar da história. Então comprem e tirem um tempinho para ler antes.
No fim do espetáculo os atores descem as escadas do teatro e podem, cumprimenta-los, tirar fotos, então considerem este tempinho para quem curte."
Teatro Municipal de São Paulo,"Praça Ramos de Azevedo, s/n - República, São Paulo - SP",Anna Paula Ribeiro,5,04/2024,"Lindo demais, no subsolo tem o bar dos arcos, tem que reservar, belíssimo, magnífico. A arquitetura do teatro de dia é linda, mais a noite quem tiver a oportunidade, lindo demais. Vale muito a pena, só tome cuidado que a região é um pouco perigosa, só ter os cuidados e não andar com joias ou celular na mão."
Teatro Municipal de São Paulo,"Praça Ramos de Azevedo, s/n - República, São Paulo - SP",Renan Rodrigues,4,03/2024,"O lugar é lindíssimo.
O teatro municipal de São Paulo é um prédio histórico com muitas características dos tempos áureos da capital paulista.
Assistimos a uma ópera nas frisas e a experiência foi boa. Porém, do local que estávamos, no início, não conseguimos ver a tradução, o que dificultou a compreensão do primeiro ato. Fora isso, tudo estava muito bom! Um fator externo prejudicial é que no dia estava muito quente, o que também atrapalhou um pouco a experiência.
As cadeiras das frisas não sao fixas e são confortáveis.
A arquitetura do prédio não deve em nada a locais famosos de Viena ou Paris.
O entorno do teatro não é um local muito seguro, embora no dia houvesse bastante policiamento.
Ambiente: 10/10
Conforto do assento: 7/10
Localização: 6/10
Organização: 9/10
Com certeza, uma experiência excelente e que gostaria de repetir."
Teatro Municipal de São Paulo,"Praça Ramos de Azevedo, s/n - República, São Paulo - SP",Fiela Quatz,5,05/2024,"Como é difícil agendar uma visita guiada, jesus amado, mas certo dia deu certo após eu colocar um alarme no celular, e você faz a inscrição de graça pelo site.
Mas lá tem tanta coisa que nem sei como explicar tudo, mas em resumo tem visita guiada dentro do teatro para falar sobre cada detalhe de como tudo começou, concertos, um restaurante para tomar um brunch no estilo parisiense com direito a música de violino ao vivo, e tudo bem gostoso, e a noite tem o bar dos arcos, que ele é debaixo do teatro, simplesmente uma arquitetura incrível, com drinks bem marcantes e nada tão caro assim, apesar do lugar parecer chique."
Teatro Municipal de São Paulo,"Praça Ramos de Azevedo, s/n - República, São Paulo - SP",Paloma Verri,5,02/2024,"O Teatro Municipal é um ponto turístico histórico e muito interessante, agendamos a visita guiada no site e conhecemos todo o teatro internamente e conhecemos ainda mais sobre a história desse local. A visita é gratuita e com horários fixos. O guia do teatro era muito simpático e solícito com as dúvidas. Nós gostamos muito de conhecer e apreciar cada detalhe da arquitetura, decoração e obras de arte que tem no local, além de adentrar ao teatro em si, onde acontece muitos concertos e óperas. Recomendo a visita a todos que estiverem passando por São Paulo."
Teatro Municipal de São Paulo,"Praça Ramos de Azevedo, s/n - República, São Paulo - SP",Monica Pizzo,5,03/2024,Fomos na quarta para uma visita guiada ao nosso belíssimo Teatro Municipal. Um patrimônio histórico suntuoso. Esplêndido em cada detalhe que nos deixou deslumbrados. Vale muito a pena tirar um tempinho para conhecer e apreciar os estilos arquitetônicos e a história desse patrimônio cultural. A guia nos deixou a vontade para dúvidas e fotos. Tivemos uma permanência em torno de 45min aproximados.
Teatro Municipal de São Paulo,"Praça Ramos de Azevedo, s/n - República, São Paulo - SP",Andre Luiz Santos Bagatin,5,03/2024,"Que visita! Que local surpreendente, muito lindo, mágico e espetacular.
As pinturas no teto, as estátuas e a sala de espetáculos são lindíssimas. Atendimento desde a recepção até o tour com a Bianca foi excelente.
A imagem ao redor do Teatro me surpreendeu."
Teatro Municipal de São Paulo,"Praça Ramos de Azevedo, s/n - República, São Paulo - SP",lucinelia santos,4,04/2024,"Lugar muito bonito, os únicos problemas são a desorganização a pintura da parede da sala de espetáculos não é muito agradável, e as cadeiras de onde eu fiquei (Frisas) estavam soltas e não tinham numeragem, mas no site você escolhe a poltrona, ou seja uma completa desorganização, mas tirando isso, o lugar é ótimo, não posso dizer o mesmo dos moradores de rua dormindo do lado da prefeitura."
Teatro Municipal de São Paulo,"Praça Ramos de Azevedo, s/n - República, São Paulo - SP",Marco Amaro,5,03/2024,"Teatro municipal de são Paulo, bem localizado fácil acesso pela estação de Anhangabaú do metrô...anda uns 4 minutos...
Local é extremamente bem cuidado e organizado...
Além das peças que tem um custo de 12 a 70 reais em média, há visitas guiadas gratuitas....tem que pegar o ingresso com antecedência...nas visitas é possível conhecer o teatro e salas com calma e tirar fotos sem filmar.
Atendimento é muito bom. Com certeza recomendamos...."
Teatro Municipal de São Paulo,"Praça Ramos de Azevedo, s/n - República, São Paulo - SP",Amanda Lima,5,05/2024,"Recomendo fazer a visita guiada, alem de ser uma experiência muito gostosa você aprende um pouquinho sobre a história do teatro e também do Centro Histórico de São Paulo."
